iter	Passed	Remaining
409	4932	7097
410	4943	7084
411	4955	7072
412	4968	7061
413	4979	7048
414	4991	7035
415	5000	7019
416	5015	7011
417	5028	7000
418	5039	6988
419	5052	6977
420	5064	6964
421	5075	6952
422	5093	6948
423	5106	6937
424	5121	6929
425	5137	6922
426	5147	6907
427	5160	6897
428	5175	6889
429	5186	6874
430	5193	6856
431	5205	6844
432	5216	6830
433	5227	6817
434	5241	6808
435	5250	6792
436	5263	6780
437	5271	6764
438	5285	6754
439	5294	6738
440	5306	6726
441	5317	6713
442	5325	6695
443	5337	6683
444	5347	6668
445	5358	6655
446	5370	6644
447	5383	6633
448	5391	6616
449	5405	6606
450	5416	6593
451	5427	6580
452	5441	6570
453	5450	6555
454	5464	6545
455	5476	6533
456	5492	6525
457	5504	6513
458	5515	6500
459	5527	6488
460	5538	6475
461	5549	6462
462	5560	6448
463	5573	6438
464	5582	6422
465	5593	6409
466	5605	6397
467	5617	6386
468	5630	6374
469	5642	6362
470	5660	6357
471	5676	6349
472	5688	6338
473	5703	6329
474	5717	6319
475	5729	6307
476	5745	6299
477	5756	6286
478	5767	6273
479	5779	6260
480	5791	6248
481	5805	6239
482	5816	6226
483	5829	6214
484	5837	6198
485	5848	6185
486	5860	6173
487	5869	6157
488	5882	6147
489	5891	6132
490	5909	6125
491	5923	6116
492	5934	6103
493	5947	6091
494	5957	6077
495	5965	6062
496	5976	6048
497	5991	6039
498	5998	6023
499	6010	6010
500	6023	5999
501	6032	5984
502	6043	5971
503	6054	5958
504	6068	5948
505	6079	5935
506	6091	5923
507	6104	5912
508	6113	5896
509	6125	5885
510	6136	5872
511	6144	5856
512	6159	5846
513	6173	5836
514	6186	5826
515	6198	5813
516	6210	5801
517	6222	5789
518	6233	5777
519	6244	5764
520	6256	5752
521	6269	5740
522	6284	5731
523	6299	5722
524	6311	5710
525	6323	5698
526	6330	5682
527	6343	5670
528	6355	5658
529	6367	5646
530	6378	5633
531	6389	5620
532	6403	5610
533	6419	5601
534	6430	5589
535	6442	5576
536	6452	5563
537	6464	5550
538	6481	5543
539	6495	5532
540	6506	5520
541	6520	5510
542	6531	5496
543	6540	5482
544	6552	5470
545	6565	5458
546	6573	5444
547	6586	5432
548	6596	5419
549	6611	5409
550	6624	5397
551	6635	5385
552	6646	5372
553	6658	5360
554	6668	5347
555	6682	5336
556	6695	5325
557	6707	5313
558	6720	5301
559	6731	5289
560	6743	5277
561	6754	5264
562	6763	5249
563	6774	5236
564	6782	5222
565	6791	5207
566	6798	5191
567	6810	5180
568	6826	5171
569	6835	5156
570	6847	5144
571	6859	5132
572	6870	5119
573	6878	5104
574	6889	5092
575	6901	5080
576	6913	5068
577	6929	5059
578	6941	5047
579	6954	5035
580	6966	5024
581	6984	5016
582	6996	5004
583	7012	4995
584	7024	4983
585	7034	4970
586	7049	4959
587	7060	4947
588	7072	4935
589	7083	4922
590	7096	4911
591	7109	4899
592	7122	4888
593	7138	4879
594	7149	4866
595	7161	4854
596	7171	4841
597	7180	4827
598	7189	4813
599	7202	4801
600	7214	4789
601	7225	4777
602	7237	4765
603	7250	4753
604	7262	4741
605	7274	4729
606	7289	4719
607	7297	4705
608	7309	4693
609	7325	4683
610	7336	4671
611	7348	4658
612	7361	4647
613	7374	4636
614	7386	4623
615	7398	4612
616	7408	4598
617	7418	4585
618	7428	4572
619	7444	4562
620	7458	4551
621	7467	4538
622	7479	4526
623	7493	4515
624	7501	4501
625	7514	4489
626	7531	4480
627	7542	4467
628	7554	4455
629	7565	4443
630	7581	4433
