iter	RMSE
213	737.1046189
214	737.0420805
215	736.9706613
216	736.9514514
217	736.7954855
218	736.6523284
219	736.5189431
220	736.4483029
221	736.4206951
222	736.2257929
223	736.2008855
224	736.1323952
225	736.0190794
226	735.8685845
227	735.8024905
228	735.6940171
229	735.5718789
230	735.4896876
231	735.4356618
232	735.3639036
233	735.2546125
234	735.174159
235	735.019831
236	734.8901861
237	734.780396
238	734.7239275
239	734.6316346
240	734.5652997
241	734.4480721
242	734.2502606
243	734.0712027
244	733.9902603
245	733.8966221
246	733.8587461
247	733.7831653
248	733.6906977
249	733.680066
250	733.6531335
251	733.5252353
252	733.449054
253	733.3346384
254	733.2076004
255	733.0771738
256	732.9676099
257	732.8929047
258	732.8200647
259	732.6862972
260	732.6580409
261	732.5262513
262	732.5093668
263	732.4244088
264	732.3578738
265	732.3317193
266	732.2397046
267	732.1580797
268	732.0124967
269	731.9227051
270	731.7772932
271	731.7406897
272	731.6609511
273	731.5987409
274	731.4537089
275	731.3438067
276	731.2715853
277	731.1917231
278	731.1129502
279	731.0608361
280	730.9224426
281	730.8212133
282	730.7783952
283	730.7019108
284	730.641981
285	730.549142
286	730.4670379
287	730.3952906
288	730.2895946
289	730.1672467
290	730.1672467
291	729.9986826
292	729.8820993
293	729.8289522
294	729.7413703
295	729.6813644
296	729.6813059
297	729.6132773
298	729.5219163
299	729.4853091
300	729.4852216
301	729.4124767
302	729.3544172
303	729.2159853
304	729.0885495
305	729.0683086
306	728.9913522
307	728.9591312
308	728.8763666
309	728.8429954
310	728.7055678
311	728.651255
312	728.5616913
313	728.5582073
314	728.5361357
315	728.5094971
316	728.4056749
317	728.3316452
318	728.3232631
319	728.2810373
320	728.2654863
321	728.1377491
322	728.1343682
323	728.1343222
324	728.0449361
325	727.8826395
326	727.7703502
327	727.7103402
328	727.6543602
329	727.6543175
330	727.5691717
331	727.4882967
332	727.4395296
333	727.3288308
334	727.2943467
335	727.2531689
336	727.1659622
337	727.0292284
338	726.9445999
339	726.9163282
340	726.8742644
341	726.7868814
342	726.5984055
343	726.4393876
344	726.3543635
345	726.346696
346	726.2677537
347	726.150337
348	726.1222446
349	726.1166073
350	726.0983451
351	726.0481735
352	725.9600348
353	725.8948794
354	725.8918382
355	725.7822569
356	725.6774848
357	725.5231643
358	725.4490308
359	725.3151185
360	725.3097779
361	725.2069595
362	725.0918365
363	725.0891328
364	724.9748149
365	724.9472702
366	724.7894672
367	724.6815311
368	724.603534
369	724.5820627
370	724.5438197
371	724.5412449
372	724.5064052
373	724.5021784
374	724.4434619
375	724.3283723
376	724.2943002
377	724.1767638
378	724.1744264
379	724.1039214
380	724.0388201
381	724.0361241
382	723.9933456
383	723.9785502
384	723.9445343
385	723.8904795
386	723.7232015
387	723.7193073
388	723.6548078
389	723.6235106
390	723.5505971
391	723.5486098
392	723.4936065
393	723.3942398
394	723.3920971
395	723.3810556
396	723.2623417
397	723.2589546
398	723.2172769
399	723.0960168
400	723.0406045
401	722.9816688
402	722.9771083
403	722.8737872
404	722.7286777
405	722.6664502
406	722.528051
407	722.464897
408	722.44282
409	722.4411561
410	722.2445011
411	722.1621908
412	722.1042489
413	722.0053847
414	721.9654482
415	721.9444368
416	721.8409842
417	721.8297986
418	721.6617684
419	721.5848979
420	721.4503862
421	721.3753696
422	721.2757206
423	721.2231372
424	721.1568821
425	721.0822458
426	721.0806417
427	721.0137542
428	720.963684
429	720.8651222
430	720.8635779
431	720.7742855
432	720.6997316
433	720.5889339
434	720.5349615
435	720.533471
436	720.3827824
437	720.3800888
438	720.3281159
439	720.3168273
440	720.2104026
441	720.0686193
442	720.0657342
443	719.9805162
444	719.9792165
445	719.8415962
446	719.7568618
447	719.6626854
448	719.6612395
449	719.5951633
450	719.4467548
451	719.2775288
452	719.1328493
453	719.0998895
454	718.9578656
455	718.9201548
456	718.8458381
457	718.779318
458	718.6345905
459	718.4833722
460	718.342286
461	718.3395724
462	718.2536035
463	718.1601291
464	718.1578414
465	718.0491389
466	717.9549281
467	717.8568018
468	717.7130848
469	717.6030899
470	717.5595383
471	717.4873058
472	717.3678909
473	717.3096276
474	717.2092317
475	717.0783099
476	717.0168534
477	716.9053506
478	716.7873732
479	716.7237994
480	716.6091352
481	716.5684821
482	716.4705017
483	716.436489
484	716.4340719
485	716.3211183
486	716.2231376
487	716.220471
488	716.1274587
489	716.1251218
490	716.0453788
491	716.0005867
492	715.8590337
493	715.7345835
494	715.7295348
495	715.7276928
496	715.6595782
497	715.6317626
498	715.6259334
499	715.4968016
500	715.4336797
501	715.4261965
502	715.3726142
503	715.3715478
504	715.3003765
505	715.2099532
506	715.1461846
507	715.0658352
508	715.0610552
509	714.9940562
510	714.8536972
511	714.8514607
512	714.7522193
513	714.7038977
514	714.6280007
515	714.4953095
516	714.3896763
517	714.3092921
518	714.1599715
519	714.1579703
520	714.0411079
521	713.941689
522	713.8929889
523	713.8735632
524	713.7490298
525	713.7461055
526	713.7441796
527	713.6548245
528	713.557458
529	713.4661318
530	713.3595616
531	713.323304
532	713.2345047
533	713.1325117
534	713.0524643
535	712.958682
536	712.8910321
537	712.8096523
538	712.7244692
539	712.6509011
540	712.5828859
541	712.5214208
542	712.4824952
543	712.4793991
544	712.38093
545	712.3331352
546	712.3298075
547	712.3005977
548	712.2909998
549	712.2351947
550	712.1797296
551	712.1021491
552	712.0253401
553	711.9170971
554	711.9130936
555	711.8333773
556	711.7909302
557	711.726644
558	711.6890711
559	711.5916482
560	711.4962328
561	711.4306888
562	711.4253923
563	711.339301
564	711.3363705
565	711.3149966
566	711.3120929
567	711.2339829
568	711.1506217
569	711.1484105
570	711.1476472
571	711.0866704
572	711.0346056
573	711.0329087
574	710.936369
575	710.8823463
576	710.7583391
577	710.7233232
578	710.6328638
579	710.5094538
580	710.462113
581	710.4180278
582	710.3983019
583	710.345659
584	710.2773909
585	710.1788034
586	710.1251755
587	710.0390023
588	709.9537075
589	709.8352812
590	709.7536019
591	709.6960521
592	709.6741998
593	709.6081104
594	709.6061269
595	709.5679787
596	709.5663508
597	709.5650676
598	709.5629704
599	709.5327567
600	709.4846725
601	709.4833623
602	709.4457095
603	709.3553296
604	709.2514739
605	709.1715136
606	709.0756088
607	709.036306
608	708.9616624
609	708.926089
610	708.8746177
611	708.8221437
612	708.7551564
613	708.6275941
614	708.5126024
615	708.5111479
616	708.4958545
617	708.4919202
618	708.4664005
619	708.4030794
620	708.3434525
621	708.283146
622	708.210115
623	708.1115868
624	708.1079035
625	708.0330809
626	707.9973102
627	707.909212
628	707.8244301
629	707.7517374
630	707.691849
631	707.6206813
632	707.508215
633	707.502862
634	707.4487102
635	707.3254607
636	707.2672555
637	707.2295379
638	707.2281592
639	707.2129861
640	707.1901232
641	707.0986572
642	707.0949503
643	706.9803789
644	706.9079693
645	706.8762167
646	706.788491
647	706.7771764
648	706.7080149
649	706.6677698
650	706.6219385
651	706.5365841
652	706.4877397
653	706.4864057
654	706.4309492
655	706.3225053
656	706.3012016
657	706.2704731
658	706.2178171
659	706.2156897
660	706.0685958
661	706.0119774
662	705.9967484
663	705.9462628
664	705.883217
665	705.8146461
666	705.7420509
667	705.7066726
668	705.6233758
669	705.5289715
670	705.4777713
671	705.4760602
672	705.4450323
673	705.4439988
674	705.4104824
675	705.3282035
676	705.3022571
677	705.2687232
678	705.2179353
679	705.1539889
680	705.0982544
681	705.0508443
682	705.0480938
683	704.9946573
684	704.9920341
685	704.9803279
686	704.947406
687	704.9457703
688	704.9441697
689	704.896791
690	704.8497469
691	704.8111806
692	704.6788431
693	704.6348942
694	704.6030273
695	704.4901331
696	704.3875493
697	704.3221166
698	704.2755417
699	704.2645434
700	704.201484
701	704.129568
702	704.0986973
703	704.071059
704	703.9826115
705	703.8886255
706	703.8514953
707	703.7434032
708	703.7200295
709	703.6574621
710	703.5647593
711	703.5303529
712	703.4801547
713	703.4784597
714	703.36845
715	703.3100919
716	703.247477
717	703.1821855
718	703.1393514
719	703.1034634
720	702.9959692
721	702.8977596
722	702.7943208
723	702.731102
724	702.668428
725	702.6489897
726	702.6021236
727	702.5328559
728	702.4500485
729	702.4327275
730	702.3886507
731	702.3490734
732	702.3134662
733	702.2545687
734	702.2043948
735	702.0900633
736	702.0492963
737	702.0364611
738	701.9768538
739	701.93976
740	701.8338431
741	701.739118
742	701.6508264
743	701.6137634
744	701.5526487
745	701.4866352
746	701.4018784
747	701.3253503
748	701.2954909
749	701.2358457
750	701.1527023
751	701.1282563
752	701.0297799
753	700.9897977
754	700.9686449
755	700.9101353
756	700.8867828
757	700.8611345
758	700.8059626
759	700.7042459
760	700.6592961
761	700.543689
762	700.4904042
763	700.3939713
764	700.3124313
765	700.2607304
766	700.2328456
767	700.1360719
768	700.1138818
769	700.0338474
770	699.9764584
771	699.9121853
772	699.8346536
773	699.7502323
774	699.6773155
775	699.6304685
776	699.5797538
777	699.5105931
778	699.3935801
779	699.3811595
780	699.2936214
781	699.1999244
782	699.1139314
783	699.030364
784	698.9365562
785	698.8554194
786	698.8105859
787	698.7791785
788	698.7619776
789	698.6881371
790	698.6414529
791	698.6068077
792	698.541735
793	698.464091
794	698.4092177
795	698.3638986
796	698.3150616
797	698.202189
798	698.1711161
799	698.0926932
800	698.0042917
801	697.9762948
802	697.8675795
803	697.8079002
804	697.7911486
805	697.7223818
806	697.6710977
807	697.5729257
808	697.5567846
809	697.5251108
810	697.4833979
811	697.4410052
812	697.3675343
813	697.3536854
814	697.2908491
815	697.2701674
816	697.1814648
817	697.1473948
818	697.1202137
819	697.0839479
820	696.9677718
821	696.9419636
822	696.8321328
823	696.7944807
824	696.7881839
825	696.739374
826	696.737814
827	696.6987589
828	696.5986123
829	696.5433517
830	696.5335996
831	696.4969616
832	696.4547929
833	696.3887782
834	696.357578
835	696.3006022
836	696.2918858
837	696.2433483
838	696.2281684
839	696.1711775
840	696.0994366
841	696.0468843
842	695.9836809
843	695.9552487
844	695.9486619
845	695.9471042
846	695.9162198
847	695.8656072
848	695.8322158
849	695.7476827
850	695.7025792
851	695.684384
852	695.603264
853	695.4788576
854	695.4444302
855	695.3690431
856	695.3605171
857	695.2963394
858	695.2521512
859	695.1675907
860	695.1283151
861	695.1263754
862	695.0820951
863	695.0463203
864	694.9772618
865	694.8928171
866	694.8582867
867	694.788667
868	694.7321578
869	694.6629602
870	694.6255898
871	694.5672277
872	694.5035017
873	694.4315126
874	694.4125324
875	694.3696009
876	694.3214823
877	694.2889028
878	694.2587861
879	694.1984794
880	694.1642381
881	694.1350215
882	694.1100727
883	694.1070629
884	694.0799651
885	694.0241071
886	693.9498596
887	693.9223614
888	693.8939822
889	693.8034515
890	693.7689785
891	693.7090316
892	693.6144937
893	693.5327454
894	693.4481446
895	693.4443225
896	693.419342
897	693.3347034
898	693.3280214
899	693.2800925
900	693.2233803
901	693.1573177
902	693.0445676
903	693.0065836
904	692.9281053
905	692.8358334
906	692.7950461
907	692.7736791
908	692.7338815
909	692.7039472
910	692.6451989
911	692.6336073
912	692.5982457
913	692.4658688
914	692.4308829
915	692.3809688
916	692.3322087
917	692.3063086
918	692.2714126
919	692.2585747
920	692.1998553
921	692.1849221
922	692.1318605
923	692.0726506
924	692.0434194
925	691.9577548
926	691.949223
927	691.9183687
928	691.8743633
929	691.7922344
930	691.7253262
931	691.6412269
932	691.5971485
933	691.5505196
934	691.4982746
935	691.4602458
936	691.401557
937	691.3712406
938	691.3312942
939	691.2469853
940	691.19282
941	691.1350019
942	691.1105792
943	691.0745854
944	691.0694414
945	690.9785913
946	690.9311364
947	690.8935583
948	690.8358075
949	690.7762555
950	690.7057623
951	690.630338
952	690.5471774
953	690.5191227
954	690.5187384
955	690.5127963
956	690.4772281
957	690.3794065
958	690.3348946
959	690.2851149
960	690.2672256
961	690.2254034
962	690.1826145
963	690.1074415
964	690.0400365
965	689.9862963
966	689.9666306
967	689.9283974
968	689.9173434
969	689.7931212
970	689.7398662
971	689.7019587
972	689.6607661
973	689.6501257
974	689.5963545
975	689.5141193
976	689.4669307
977	689.3679308
978	689.3397877
979	689.3060676
980	689.2893415
981	689.2552878
982	689.2230416
983	689.1870069
984	689.1586859
985	689.1287476
986	689.0637661
987	689.0464168
988	688.98216
989	688.9568658
990	688.9108474
991	688.8510384
992	688.8199541
993	688.7957891
994	688.7699453
995	688.7471859
996	688.7461899
997	688.728928
998	688.6781537
999	688.5839154
